ranking,tier,score,companyName,companyType,status,emailVerified,email,city,country,website,sourceUrl
1,A,63,Cybersecurity „Made in Germany“ stärkt digitale Souveränität und Vertrauen - Deutscher Presseindex,Manufacturer,verified,True,info@aerasec.de,Germany,Germany,https://deutscherpresseindex.de,https://www.deutscherpresseindex.de/2026/03/05/cybersecurity-made-in-germany-strkt-digitale-souvernitt-und-vertrauen/
2,A,63,Cybersecurity companies in Germany - Pentest Reports,Company,verified,True,privacy@netfoe.com,Germany,Germany,https://pentestreports.com,https://www.pentestreports.com/companies/germany
3,A,63,Top Cybersecurity Companies in Germany 2026 [Updated List],Service,verified,True,info@deepstrike.io,Germany,Germany,https://deepstrike.io,https://deepstrike.io/blog/top-cybersecurity-companies-germany-2025
4,A,63,Top 30 Cybersecurity companies in Germany (2026),Service,verified,True,chandan@qualysec.com,Germany,Germany,https://qualysec.com,https://qualysec.com/top-cybersecurity-companies-in-germany/
5,A,63,Secunet Security Networks AG (Germany) and G DATA CyberDefense AG (Germany) are Leading Players in the Germany Cybersecu,Company,verified,True,sales@marketsandmarkets.com,Germany,Germany,https://marketsandmarkets.com,https://www.marketsandmarkets.com/ResearchInsight/germany-cybersecurity-companies.asp
6,A,57,Sophos: Schutz gegen Cyberangriffe mit Cybersecurity as a Service,Manufacturer,verified,True,globaltraining@sophos.com,Germany,Germany,https://sophos.com,https://www.sophos.com/de-de/
7,A,57,Fortinet: Global Leader of Cybersecurity Solutions and Services,Integrator,verified,True,info@fortinet.com,Germany,Germany,https://fortinet.com,https://www.fortinet.com/
8,A,57,Deutor - Cybersecurity,Integrator,verified,True,kontakt@deutor.de,Germany,Germany,https://deutor.de,https://deutor.de/
9,A,54,"Deutsche Regierung veröffentlicht Gesetz zur Gewährleistung des ""Rechts ...",Company,verified,True,jobs@tutao.de,Germany,Germany,https://tuta.com,https://tuta.com/de/blog/german-government-publishes-encryption-law
10,B,48,Netzwerksicherheit in Ihrem Unternehmen mit | mips-germany.com,Manufacturer,verified,True,info@mips-germany.com,Germany,Germany,https://mips-germany.com,https://mips-germany.com/netzwerksicherheit/
